point_id,boundary_loss_weight,encoder_filters,learning_rate,model_architecture,pixel_loss_type,shape_loss_weight,train_loss,val_iou,test_iou,test_dice,test_precision,test_recall,test_pixel_acc,test_boundary_iou,test_boundary_f1,test_compactness,best_epoch,total_epochs,stopped_early,result_dir
0,0.0,shallow,0.0001,unetpp,bce_iou,0.1,0.3448193636205461,0.17947547137737274,0.13477742671966553,0.23731155693531036,0.8940128684043884,0.13692829012870789,0.8423690795898438,0.054227109998464584,0.10285785421729088,0.0007447405660059303,9,19,True,grid_search_results/point_000000
1,0.0,shallow,0.0005,seunet,dice,0.2,0.46100376711951363,0.14302001893520355,0.003966756933550641,0.007871367275583907,0.9379432499408722,0.0039711998078928445,0.8215567171573639,0.0046187005971515755,0.00915285013684956,0.008341236738488078,3,13,True,grid_search_results/point_000001
2,0.0,shallow,0.0005,scse_unet,dice,0.2,0.46381325523058575,0.12851133197546005,0.0024309887094674932,0.004838453141066276,0.8153527081012726,0.0024379291581241714,0.8211759030818939,0.001086619103977189,0.002168524318742961,0.5107244569808245,2,12,True,grid_search_results/point_000002
3,0.0,shallow,0.001,scse_unet,dice,0.2,0.4583132531907823,0.14603761583566666,0.17247477173805237,0.29372738301754,0.17741290479898453,0.861983448266983,0.25984445959329605,0.01406874693930149,0.027746963314712048,0.011954490561038256,3,13,True,grid_search_results/point_000003
4,0.0,micro,0.0001,unetpp,bce,0.1,0.5063088668717278,0.16699353605508804,0.14399267733097076,0.2511213794350624,0.7268592119216919,0.1517823562026024,0.8372415006160736,0.07057661190629005,0.13183055818080902,0.00029989851464051753,11,21,True,grid_search_results/point_000004
5,0.0,micro,0.0005,unetpp,dice,0.1,0.3835523757669661,0.17971937358379364,0.0034138991041360723,0.006781495642873489,0.953191488981247,0.0034163084356366026,0.8215014040470123,0.003413675356374786,0.006781052804920286,0.5048907389864326,6,16,True,grid_search_results/point_000005
6,0.0,micro,0.001,attunet,bce,0.1,0.28632990684774184,0.13488144055008888,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,2,12,True,grid_search_results/point_000006
7,0.0,micro,0.001,resunet,dice,0.1,0.5066765679253472,0.15029869228601456,2.5603991583161845e-12,2.5603991583161845e-12,1.0,2.5603991583161845e-12,0.8210156857967377,8.664059704052707e-12,1.7328117673381938e-11,1.0,2,12,True,grid_search_results/point_000007
8,0.3,deep,0.001,seunet,bce,0.1,0.34454630812009174,0.12796692922711372,2.5093416927690626e-12,2.5093416927690626e-12,0.5000000000487805,2.5603991583161845e-12,0.8184089660644531,8.585680126918516e-12,6.958542784682702e-12,0.5240429732948542,6,16,True,grid_search_results/point_000008
9,0.3,shallow,0.0001,unet,bce,0.1,0.25077789856327903,0.1366327628493309,0.015077564399689436,0.029584257397800684,1.0,0.015077564399689436,0.8235505521297455,0.0018316882230415973,0.003650002181549024,0.005847867927514017,6,16,True,grid_search_results/point_000009
10,0.3,shallow,0.0001,unet,bce_iou,0.0,0.4014865557352702,0.15829220414161682,0.04073602892458439,0.07796178013086319,0.996766597032547,0.04074558988213539,0.828005462884903,0.00831920956261456,0.016463294392451644,0.0015528544317930937,10,20,True,grid_search_results/point_000010
